,count,mean,std,min,25%,50%,75%,max
BTC Price (USD),3190.0,0.6651180302213027,1.1823942448588012,-0.4865882706678156,-0.25246996940683525,0.13185986982972836,1.3937530851178037,4.29743905635776
ETH Price (USD),3190.0,1.0267213435484777,1.5309901076370749,-0.31844578124154344,-0.13386228134648984,0.1869095739574254,2.0571910068594166,6.098397741813905
DOGE Price (USD),3190.0,8.742327879987304,15.334695814078145,-0.4608128309403882,-0.13172645501192876,0.11445933232578136,13.23351530022029,126.86609416401247
Active Addresses,3190.0,0.1535938902318402,0.6590887945094414,-1.5098144932260875,-0.3311012231284755,0.19309568739068017,0.6610880890733438,1.9817627845450727
SOPR,3190.0,0.11316579078432798,1.3706459983320898,-13.790150007199314,-0.399293830239352,0.004505823385495827,0.6188401722387313,12.517253857628674
Transaction Count,3190.0,0.24182828412328133,1.0483833178545108,-2.0495591748348696,-0.42800714944517326,0.10824420396542143,0.6625553537772328,7.569125625146799
Transaction Value (USD),3190.0,0.7446086774890599,1.936715983138967,-0.4380208707785247,-0.18292119471240814,0.10543407474003667,0.856031226267707,34.02272125990471
MVRV Ratio,3190.0,0.07444467903198505,0.7931864553253102,-1.194537323819785,-0.47597526547783375,-0.06516059298518781,0.4543797059028419,3.6000648533037256
Block Difficulty,3190.0,0.7079514102534845,1.2388800522377446,-0.39613126300750584,-0.3279738093338916,0.41525159137275147,1.2361792292850196,4.849391798080367
Total Fees (USD),3190.0,1.2632140613546945,3.9077873620642416,-0.45759348113205117,-0.26391060878124667,0.10750500507726034,0.904063192065246,110.50979387291707
Revenue (USD),3190.0,0.39555138993621747,0.916502446263053,-0.6502392288804356,-0.3116706478872827,0.180038580326688,0.8495915484716616,5.030951693730816
Rev. Puell Multiple,3190.0,0.23633838206894736,1.0070438330201443,-1.066713585126993,-0.42046645847138897,0.018597709178028055,0.5388469337699517,7.556122365459977
MaCap to Realizedcap Ratio(USD),3190.0,0.025301286731799145,0.8492531863768601,-1.320441960601634,-0.5856533085710167,-0.09953929387115515,0.46779336965253987,3.8563384929926867
MCap/Thermocap Ratio(USD),3190.0,0.21306282051886402,0.7784332479315251,-0.6622950748565763,-0.3046855352295244,-0.06679142905089314,0.5056008680126197,4.926216310895529
Miner Outflow to Revenue Ratio,3190.0,0.34490748997754295,1.0430255837630065,-1.091686032209704,-0.35891925704493666,0.08646956315361198,0.7280138845131455,11.169956657070156
HashRate,3190.0,0.7238557799105103,1.2693700995844377,-0.39829416038370247,-0.3243229797494121,0.38816658890686456,1.1863414174404898,5.610727863307339
HashPrice (USD),3190.0,0.3149498942951254,1.0169118024865984,-0.4355446553165061,-0.3441783663984593,-0.14251953438137555,0.5811316476401089,5.530715224375106
HashPrice 1yr/avg (USD),3190.0,0.33287874124307026,0.7925200901769218,-0.29150592882168286,-0.2067750065917149,-0.09964100593236296,0.6727085605063232,3.654790482345694
Miner Supply (BTC),3190.0,0.18731234102267322,0.5723562619788379,-0.37503818875094286,-0.173717779637712,-0.05310001891714289,0.32930392321636015,1.6634444289982482
Miner Supply (USD),3190.0,0.6602623439447168,1.1706707119212587,-0.48329236012717475,-0.25113583733476436,0.1295948722738203,1.3880570353547652,4.251358228837123
Volume (USD),3190.0,0.6168778614279931,1.1570690266444277,-0.36024100428542427,-0.21328978728243825,0.16977292513042344,1.1130653220068836,11.60693646414904
Realized Volatility (24h),3190.0,0.16266426939348225,1.0606329745909688,-1.127376029895946,-0.47876693882865573,-0.12406228948777745,0.4485138896730324,12.751774422719146
Realized Volatility (30d),3190.0,0.04290979521261872,0.8255407112364574,-1.1283059973205103,-0.5387455446881699,-0.14184488998976524,0.3779338360819272,3.704686313970928
Realized Volatility (7d),3190.0,0.12494186841808612,0.9879059721262233,-1.1900291260860834,-0.5118328565336934,-0.12574702392320047,0.43335056744237843,6.235288241979906
Miner Netflows from Exchanges(BTC),3190.0,-0.35581529491719566,2.3609529174806623,-57.88570956142359,-0.42662452512181853,0.09252445293996536,0.32844965551417077,17.35827096980308
Miner Netflows from Exchanges(USD),3190.0,-0.6951373492692996,4.276327745564433,-100.19485605016023,-0.9997861969424449,-0.15835181377909763,0.25233666845487357,47.702284404101775
Miner Netflows All(BTC),3190.0,-0.22970898035372847,2.192099933855568,-56.50351679195225,-0.422523366740629,-0.0347131963184345,0.3580126855508463,18.078486126968826
Miner Netflows All(USD),3190.0,-0.25472792646508724,5.270893697138967,-248.02709895997143,-0.5192012028091255,0.00791309955508226,0.5771829360231038,27.401215959853758
Exchange Netflows Excl. Ex<->Ex(BTC),3190.0,-0.09101712692880233,1.4482604033543929,-25.822407003398652,-0.5003693222316118,-0.04957077608770002,0.3993894163959225,13.276160564023575
Exchange Netflows Excl. Ex<->Ex(USD),3190.0,-0.781338447216792,6.2231733067235915,-129.732313245439,-1.066217039191342,-0.03194735751400263,0.3574947513937802,45.42080901626936
Exchange Netflows All(BTC),3190.0,-0.09101712692880229,1.4482604033543942,-25.82240700339867,-0.5003693222316128,-0.049570776087699935,0.39938941639592296,13.276160564023584
Exchange Netflows All(USD),3190.0,-0.7813384472167927,6.2231733067235995,-129.73231324543917,-1.0662170391913413,-0.03194735751400253,0.35749475139378034,45.420809016269416
BTC Price (USD)_lag_1,3190.0,0.6677251275645649,1.1876211040752684,-0.4887321348517104,-0.2535301689278589,0.13223240856692048,1.4001182250926263,4.320369469201383
BTC Price (USD)_lag_2,3190.0,0.6716427929587307,1.1952224599694479,-0.4919006485925118,-0.25570534175780346,0.1330278766221009,1.4082768010287467,4.352124592802012
BTC Price (USD)_lag_3,3190.0,0.6762639402407704,1.2038230569728199,-0.4953623032428699,-0.2578609231574242,0.13446426820358473,1.41976991128783,4.387892429662959
BTC Price (USD)_lag_4,3190.0,0.6799924385270795,1.2096443876531344,-0.49700386883714315,-0.26040573412830137,0.13620615920245877,1.4276627477000892,4.414234892097877
BTC Price (USD)_lag_5,3190.0,0.681200632161774,1.2106894626855256,-0.49649045156812,-0.26023173853112724,0.13760696954866292,1.430877024826098,4.423186029670236
BTC Price (USD)_7d_mean,3190.0,0.685861724741862,1.218300276888085,-0.5005173653192987,-0.2580919541813506,0.13408008793164766,1.4422928241670854,4.286526644279056
BTC Price (USD)_7d_std,3190.0,0.5837664639124877,1.1659778509215255,-0.3207031078215937,-0.1959293529880034,0.10703194696934204,0.8781535463911451,6.853877760023399
